number,ticker,primary_exchange_code,fundamental_period,earning_value,earning_yoy,earning_plan_to_target,eps_value,eps_accumulated,pe_ratio,fundamental_audit_style,fundamental_status,updated_date,unit,currency
237,VJC,HOSE,2020Q2,73.15,-96.3,98,139,"4,383.00",23,not audited,consolidated,6/8/2020,billion,dong
238,AMV,HNX,2020Q2,55.42,4.6,23,"1,555.00","6,214.00",2.4,not audited,consolidated,6/8/2020,billion,dong
239,SHN,HNX,2020Q2,94.37,179.7,206,728,"1,119.00",8,not audited,consolidated,6/8/2020,billion,dong
240,SEB,HNX,2020Q2,56.15,-25.3,63,"1,755.00","2,850.00",10.9,not audited,consolidated,6/8/2020,billion,dong
241,SPI,HNX,2020Q2,-2.48,"-2,166.70",-110,-148,-145,-6.2,not audited,consolidated,6/8/2020,billion,dong
242,TET,HNX,2020Q2,2.72,-39.7,na,477,876,34.1,reviewed,separated,6/8/2020,billion,dong
243,SIC,HNX,2020Q2,13.27,-70.3,115,553,"1,613.00",6.9,not audited,consolidated,6/8/2020,billion,dong
244,VMC,HNX,2020Q2,-0.42,-106.6,-2,-21,501,17,not audited,consolidated,6/8/2020,billion,dong
245,NFC,HNX,2020Q2,6.06,-24.4,51,385,467,10.9,reviewed,separated,6/8/2020,billion,dong
246,TA9,HNX,2020Q2,7.08,812.8,41,570,"1,983.00",4.7,not audited,separated,6/8/2020,billion,dong
247,CTX,HNX,2020Q2,5.33,-94.1,na,80,"1,967.00",4.1,not audited,consolidated,6/8/2020,billion,dong
248,LGL,HOSE,2020Q2,-5.88,-115.9,-12,-117,434,10.7,not audited,consolidated,6/8/2020,billion,dong
249,CLL,HOSE,2020Q2,45.74,-8.1,na,"1,345.00","2,431.00",11.1,not audited,consolidated,6/8/2020,billion,dong
250,ALT,HNX,2020Q2,-7.5,-363,-134,"-1,308.00",-356,-36,not audited,consolidated,6/8/2020,billion,dong
251,HVH,HOSE,2020Q2,17.29,-26.6,54,876,"2,140.00",3.7,not audited,consolidated,6/8/2020,billion,dong
252,TDH,HOSE,2020Q2,-6.49,-111.4,-2,-69,989,8.4,not audited,consolidated,6/8/2020,billion,dong
253,VND,HOSE,2020Q2,193.05,59.1,na,925,"2,175.00",5.3,not audited,consolidated,6/8/2020,billion,dong
254,SSI,HOSE,2020Q2,532.51,27.2,82,"1,006.00","1,933.00",7.4,not audited,consolidated,6/8/2020,billion,dong
255,KVC,HNX,2020Q2,-19.92,-376.8,"-1,245.00",-402,-437,-2.3,not audited,separated,6/8/2020,billion,dong
256,HQC,HOSE,2020Q2,7.47,-65.1,12,16,58,26.7,not audited,separated,6/8/2020,billion,dong
257,PAN,HOSE,2020Q2,50.72,-49.3,17,271,"1,107.00",17.2,not audited,consolidated,6/8/2020,billion,dong
258,SCD,HOSE,2020Q2,1.6,-87.5,13,188,"1,138.00",19.9,not audited,separated,6/8/2020,billion,dong
