number,ticker,primary_exchange_code,fundamental_period,earning_value,earning_yoy,earning_plan_to_target,eps_value,eps_accumulated,pe_ratio,fundamental_audit_style,fundamental_status,updated_date,unit,currency
403,PNJ,HOSE,2020Q2,439.92,-26.4,33,"1,964.00","4,612.00",12.1,not audited,consolidated,6/8/2020,billion,dong
404,QTC,HNX,2020Q2,2.25,-26.9,46,835,"2,067.00",8.1,not audited,consolidated,6/8/2020,billion,dong
405,LHG,HOSE,2020Q2,106.82,35.2,na,"2,136.00","3,229.00",6.5,not audited,consolidated,6/8/2020,billion,dong
406,HOT,HOSE,2020Q2,-10.3,-246.2,82,"-1,287.00",-627,-72.6,not audited,consolidated,6/8/2020,billion,dong
407,HT1,HOSE,2020Q2,313.1,-0.3,50,821,"1,949.00",7,not audited,consolidated,6/8/2020,billion,dong
408,SDC,HNX,2020Q2,0.25,-77.9,10,97,414,39.1,not audited,consolidated,6/8/2020,billion,dong
409,SDA,HNX,2020Q2,6.59,199.6,132,251,"-2,180.00",-2.2,not audited,consolidated,6/8/2020,billion,dong
410,PVI,HNX,2020Q2,430.78,-3,64,"1,874.00","3,061.00",10.1,not audited,consolidated,6/8/2020,billion,dong
411,PTS,HNX,2020Q2,3.24,110.1,71,582,"1,317.00",3.9,not audited,consolidated,6/8/2020,billion,dong
412,ACB,HNX,2020Q2,"3,058.71",5.5,50,"1,933.00","3,890.00",6.1,not audited,consolidated,6/8/2020,billion,dong
413,HTV,HOSE,2020Q2,13.16,-19.4,46,"1,004.00","1,968.00",6.4,not audited,consolidated,6/8/2020,billion,dong
414,CRE,HOSE,2020Q2,133.36,-29.8,33,"1,667.00","4,218.00",4.7,not audited,consolidated,6/8/2020,billion,dong
415,GAS,HOSE,2020Q2,"4,047.36",-33.1,61,"2,115.00","5,193.00",13.4,not audited,consolidated,6/8/2020,billion,dong
416,HHG,HNX,2020Q2,-29.53,"-4,514.40",na,-846,-452,-2.4,not audited,consolidated,6/8/2020,billion,dong
417,VMS,HNX,2020Q2,6.9,179,na,767,"1,182.00",4.8,not audited,separated,6/8/2020,billion,dong
418,CTD,HOSE,2020Q2,281.76,-9.9,63,"3,690.00","8,907.00",8.6,not audited,consolidated,6/8/2020,billion,dong
419,PIT,HOSE,2020Q2,0.65,-75.7,12,46,339,11.7,not audited,consolidated,6/8/2020,billion,dong
420,SD5,HNX,2020Q2,10.69,12.8,na,411,765,6.1,not audited,separated,6/8/2020,billion,dong
421,HJS,HNX,2020Q2,34.34,10.3,89,"1,635.00","2,493.00",11.8,not audited,consolidated,6/8/2020,billion,dong
422,FMC,HOSE,2020Q2,92.45,0.7,50,"2,005.00","4,994.00",5.3,not audited,separated,6/8/2020,billion,dong
423,EVG,HOSE,2020Q2,9.48,42.7,na,158,346,10.2,not audited,consolidated,6/8/2020,billion,dong
424,BWE,HOSE,2020Q2,249.26,19.7,53,"1,662.00","3,448.00",7.3,not audited,consolidated,6/8/2020,billion,dong
425,CIG,HOSE,2020Q2,-135.94,na,"-2,719.00","-4,310.00","-4,256.00",-0.4,not audited,consolidated,6/8/2020,billion,dong
426,DRH,HOSE,2020Q2,28.67,30.1,51,473,"1,064.00",5.8,not audited,consolidated,6/8/2020,billion,dong
427,CMX,HOSE,2020Q2,33.18,-29.9,37,"2,008.00","7,036.00",2.1,not audited,consolidated,6/8/2020,billion,dong
428,DSN,HOSE,2020Q2,0.98,-98.4,na,81,"2,758.00",15.3,not audited,consolidated,6/8/2020,billion,dong
429,BSC,HNX,2020Q2,0.74,66.4,75,234,363,32.2,not audited,consolidated,6/8/2020,billion,dong
430,BKC,HNX,2020Q2,-13.79,na,"-1,916.00","-1,175.00","1,009.00",5.7,not audited,consolidated,6/8/2020,billion,dong
431,DHC,HOSE,2020Q2,168.11,261.8,84,"3,107.00","5,605.00",8,not audited,consolidated,6/8/2020,billion,dong
432,DZM,HNX,2020Q2,2.31,169.1,18,428,"1,492.00",2.3,not audited,consolidated,6/8/2020,billion,dong
433,PGT,HNX,2020Q2,6.3,227.8,97,711,-630,-9,not audited,consolidated,6/8/2020,billion,dong
434,VCB,HOSE,2020Q2,"8,787.83",-3.1,na,"2,369.00","4,916.00",16.8,not audited,consolidated,6/8/2020,billion,dong
435,ANV,HOSE,2020Q2,75.49,-78.6,38,594,"3,351.00",4.7,not audited,consolidated,6/8/2020,billion,dong
436,DHG,HOSE,2020Q2,362.68,16.3,67,"2,774.00","5,248.00",18.5,not audited,consolidated,6/8/2020,billion,dong
437,VTC,HNX,2020Q2,0.05,100.4,na,10,"4,850.00",2.4,not audited,consolidated,6/8/2020,billion,dong
438,STB,HOSE,2020Q2,"1,129.11",-1.9,59,626,"1,348.00",7.8,not audited,consolidated,6/8/2020,billion,dong
439,TKC,HNX,2020Q2,-12.79,"-2,203.60",85,"-1,192.00","-1,171.00",-2.9,not audited,separated,6/8/2020,billion,dong
440,RIC,HOSE,2020Q2,-54.29,na,"-13,427,931.00",-777,-700,-7.8,not audited,separated,6/8/2020,billion,dong
441,VPG,HOSE,2020Q2,7.73,-73.4,18,287,"1,332.00",9.7,not audited,separated,6/8/2020,billion,dong
442,PPS,HNX,2020Q2,5.62,109.1,38,375,"1,189.00",5.9,not audited,separated,6/8/2020,billion,dong
443,PRC,HNX,2020Q2,-0.05,-106.5,-6,-44,481,17.9,not audited,separated,6/8/2020,billion,dong
444,TMT,HOSE,2020Q2,1.25,123.6,5,34,108,45.5,not audited,separated,6/8/2020,billion,dong
445,THI,HOSE,2020Q2,49.86,-23.5,38,"1,132.00","3,579.00",7.2,not audited,consolidated,6/8/2020,billion,dong
446,NBW,HNX,2020Q2,8.79,10.1,63,806,"1,319.00",13.7,not audited,separated,6/8/2020,billion,dong
447,BXH,HNX,2020Q2,2.49,24.2,na,827,"1,317.00",13.2,not audited,separated,6/8/2020,billion,dong
448,TV4,HNX,2020Q2,8.51,118.6,na,539,"1,363.00",8.6,not audited,separated,6/8/2020,billion,dong
449,HEV,HNX,2020Q2,1.01,-30.2,na,"1,010.00","1,537.00",7,not audited,separated,6/8/2020,billion,dong
450,NBC,HNX,2020Q2,-138.54,-967.5,-684,"-3,744.00","-3,364.00",-1.7,not audited,separated,6/8/2020,billion,dong
451,HMC,HOSE,2020Q2,14.67,-48.9,na,699,-121,-101.7,not audited,separated,6/8/2020,billion,dong
452,DTT,HOSE,2020Q2,4.4,41.2,na,539,"1,068.00",13.5,not audited,separated,6/8/2020,billion,dong
453,PGN,HNX,2020Q2,3.3,463.3,52,"1,000.00","2,388.00",5.6,not audited,separated,6/8/2020,billion,dong
454,ATS,HNX,2020Q2,0.1,-74.8,10,27,-72,-366.7,not audited,separated,6/8/2020,billion,dong
455,PCE,HNX,2020Q2,7.65,8.7,na,765,"1,618.00",10,not audited,separated,6/8/2020,billion,dong
456,DHM,HOSE,2020Q2,0.55,28.8,1,17,154,51.5,not audited,separated,6/8/2020,billion,dong
457,CTT,HNX,2020Q2,4.42,121.6,57,941,"2,284.00",5.6,not audited,consolidated,6/8/2020,billion,dong
458,PCT,HNX,2020Q2,12.2,-20.5,na,531,678,7.5,not audited,separated,6/8/2020,billion,dong
459,VCM,HNX,2020Q2,1.87,-62,32,623,"1,784.00",8.7,not audited,separated,6/8/2020,billion,dong
460,LM7,HNX,2020Q2,-3.17,"-3,606.60",-845,-634,-612,-4.7,not audited,separated,6/8/2020,billion,dong
461,TMX,HNX,2020Q2,4.04,-13.3,51,673,"1,577.00",7.4,not audited,separated,6/8/2020,billion,dong
462,CPC,HNX,2020Q2,5.61,-13.7,61,"1,374.00","2,438.00",6.6,not audited,separated,6/8/2020,billion,dong
463,DIH,HNX,2020Q2,0.27,126.6,14,45,512,25.4,not audited,separated,6/8/2020,billion,dong
464,VC1,HNX,2020Q2,4.25,-44,54,354,"1,128.00",8.9,not audited,separated,6/8/2020,billion,dong
465,ICG,HNX,2020Q2,2.86,-67.1,53,163,528,11.2,not audited,C?g ty m?,6/8/2020,billion,dong
466,TC6,HNX,2020Q2,16.38,121.1,80,504,-338,-13.3,not audited,separated,6/8/2020,billion,dong
467,TST,HNX,2020Q2,0.01,101.7,1,2,426,23.5,not audited,consolidated,6/8/2020,billion,dong
468,SD6,HNX,2020Q2,1.44,-71,na,41,62,37.1,not audited,separated,6/8/2020,billion,dong
469,VTO,HOSE,2020Q2,18.83,-60.1,36,239,901,7.3,not audited,consolidated,6/8/2020,billion,dong
470,RAL,HOSE,2020Q2,138.27,43.5,na,"12,024.00","14,505.00",6.2,not audited,separated,6/8/2020,billion,dong
471,MBG,HNX,2020Q2,25.46,880,100,604,"1,045.00",4.2,not audited,separated,6/8/2020,billion,dong
472,LAS,HNX,2020Q2,-13,-206.6,-31,-115,-202,-26.2,not audited,separated,6/8/2020,billion,dong
473,DC2,HNX,2020Q2,1.26,"1,168.40",14,501,"3,321.00",2,not audited,separated,6/8/2020,billion,dong
474,DP3,HNX,2020Q2,58.78,2.2,na,"6,835.00","9,921.00",7.3,not audited,separated,6/8/2020,billion,dong
475,VIE,HNX,2020Q2,-0.12,na,43,-65,760,8,not audited,separated,6/8/2020,billion,dong
476,HBS,HNX,2020Q2,0.61,-77.8,28,18,169,10.7,not audited,separated,6/8/2020,billion,dong
477,APS,HNX,2020Q2,6.73,135.4,67,173,-253,-9.5,not audited,separated,6/8/2020,billion,dong
478,VIG,HNX,2020Q2,-2.67,na,-508,-78,-104,-6.7,not audited,separated,6/8/2020,billion,dong
479,SC5,HOSE,2020Q2,10.39,-60.3,49,693,"1,202.00",15.3,not audited,separated,6/8/2020,billion,dong
480,CET,HNX,2020Q2,-0.19,-147,na,-31,-278,-10.1,not audited,separated,6/8/2020,billion,dong
481,HKT,HNX,2020Q2,1.06,448.3,11,173,249,22.1,not audited,separated,6/8/2020,billion,dong
482,PMP,HNX,2020Q2,2.17,492.3,35,516,"1,361.00",7,not audited,separated,6/8/2020,billion,dong
483,ACM,HNX,2020Q2,-5.28,na,-440,-103,-19,-31.6,not audited,separated,6/8/2020,billion,dong
484,KLF,HNX,2020Q2,21.21,23.2,177,128,96,16.7,not audited,separated,6/8/2020,billion,dong
485,PSW,HNX,2020Q2,4.43,-8.5,na,260,328,22.3,not audited,separated,6/8/2020,billion,dong
486,VE4,HNX,2020Q2,0.15,-60.2,9,150,284,16.2,not audited,separated,6/8/2020,billion,dong
487,PV2,HNX,2020Q2,-0.06,-101,-3,-2,157,15.9,not audited,separated,6/8/2020,billion,dong
488,AMC,HNX,2020Q2,2.83,-32.9,40,995,"2,701.00",6.4,not audited,separated,6/8/2020,billion,dong
489,NHA,HNX,2020Q2,13.6,22,43,836,"4,355.00",2.8,not audited,separated,6/8/2020,billion,dong
490,TNT,HOSE,2020Q2,-1.49,-196.7,-93,-58,-27,-51.9,not audited,consolidated,6/8/2020,billion,dong
491,CMS,HNX,2020Q2,0.54,-87.7,-14,31,-7,-485.7,not audited,consolidated,6/8/2020,billion,dong
492,ADC,HNX,2020Q2,2.89,-17.1,28,943,"3,379.00",3.6,not audited,separated,6/8/2020,billion,dong
493,HAT,HNX,2020Q2,8.99,-24.7,na,"2,880.00","4,330.00",4.6,not audited,separated,6/8/2020,billion,dong
494,MCC,HNX,2020Q2,1.04,-68.3,15,209,877,15.7,not audited,separated,6/8/2020,billion,dong
495,VE3,HNX,2020Q2,0.17,39,19,130,792,7.3,not audited,separated,6/8/2020,billion,dong
496,MAC,HNX,2020Q2,-0.61,-109.5,na,-40,327,16.8,not audited,separated,6/8/2020,billion,dong
497,VBC,HNX,2020Q2,14.29,-6.9,42,"1,905.00","3,651.00",4.7,not audited,separated,6/8/2020,billion,dong
498,V12,HNX,2020Q2,3.34,69.1,31,575,"1,293.00",8.5,not audited,separated,6/8/2020,billion,dong
499,LO5,HNX,2020Q2,-41.58,na,na,"-8,074.00","-3,521.00",-0.5,not audited,separated,6/8/2020,billion,dong
500,L61,HNX,2020Q2,0.53,-45.8,38,70,215,64.7,not audited,separated,6/8/2020,billion,dong
501,TMP,HOSE,2020Q2,99.66,-25.3,31,"1,424.00","4,685.00",7.6,not audited,consolidated,6/8/2020,billion,dong
502,VE1,HNX,2020Q2,-5.3,na,na,-893,-323,-23.5,not audited,separated,6/8/2020,billion,dong
503,NVB,HNX,2020Q2,18.36,11.6,na,45,111,77.5,not audited,consolidated,6/8/2020,billion,dong
504,ONE,HNX,2020Q2,1.91,-29.3,64,240,478,7.7,not audited,separated,6/8/2020,billion,dong
505,SD4,HNX,2020Q2,1.14,-79.4,8,111,624,5.3,not audited,separated,6/8/2020,billion,dong
506,VE9,HNX,2020Q2,-4.42,na,151,-353,"-2,606.00",-0.4,not audited,separated,6/8/2020,billion,dong
507,NGC,HNX,2020Q2,-16.08,"-2,764.60","-1,483.00","-6,990.00","-11,385.00",-0.2,not audited,separated,6/8/2020,billion,dong
508,TKU,HNX,2020Q2,26.84,3.7,89,834,"1,356.00",6.3,not audited,separated,6/8/2020,billion,dong
509,S55,HNX,2020Q2,7.38,-69.6,26,738,"1,727.00",13.5,not audited,consolidated,6/8/2020,billion,dong
510,SDN,HNX,2020Q2,4.08,4.5,75,"2,689.00","4,321.00",7.4,not audited,separated,6/8/2020,billion,dong
511,TCT,HOSE,2020Q2,6.01,-91.6,16,470,150,165.3,not audited,separated,6/8/2020,billion,dong
512,HAS,HOSE,2020Q2,0.4,-73,4,51,528,13,not audited,consolidated,6/8/2020,billion,dong
513,TS4,HOSE,2020Q2,-23.29,-346.9,"-2,070.00","-1,451.00","-1,718.00",-1.8,not audited,consolidated,6/8/2020,billion,dong
514,SAV,HOSE,2020Q2,11.79,-8.5,63,871,"1,703.00",4.5,not audited,separated,6/8/2020,billion,dong
515,PBP,HNX,2020Q2,0.53,-79.1,10,111,696,9.2,not audited,separated,6/8/2020,billion,dong
516,SVN,HNX,2020Q2,0.07,122,na,3,-5,-360,not audited,separated,6/8/2020,billion,dong
517,ITQ,HNX,2020Q2,0.2,26.7,7,9,39,59,not audited,separated,6/8/2020,billion,dong
518,THS,HNX,2020Q2,1.93,26.4,80,714,"1,308.00",5.5,not audited,separated,6/8/2020,billion,dong
519,NSH,HNX,2020Q2,0.25,-74.8,3,12,46,28.3,not audited,separated,6/8/2020,billion,dong
520,MDG,HOSE,2020Q2,4.26,10.1,26,412,"1,179.00",9.3,not audited,separated,6/8/2020,billion,dong
521,PVL,HNX,2020Q2,-4.77,na,na,-95,-160,-7.5,not audited,separated,6/8/2020,billion,dong
522,NAG,HNX,2020Q2,9.06,-9.6,113,585,898,5.3,not audited,consolidated,6/8/2020,billion,dong
523,BLF,HNX,2020Q2,3.97,-14.6,62,345,355,8.5,not audited,separated,6/8/2020,billion,dong
524,LUT,HNX,2020Q2,0.12,-46.9,24,8,10,170,not audited,separated,6/8/2020,billion,dong
525,CJC,HNX,2020Q2,1.64,57.8,73,409,"-7,669.00",-2,not audited,separated,6/8/2020,billion,dong
526,ABS,HOSE,2020Q2,7.67,-50.6,15,266,888,13.2,not audited,separated,6/8/2020,billion,dong
527,TTB,HOSE,2020Q2,2.44,-91.1,na,52,248,20.4,not audited,separated,6/8/2020,billion,dong
528,LCD,HNX,2020Q2,1.28,38.9,94,856,"1,166.00",5.8,not audited,separated,6/8/2020,billion,dong
529,DNM,HNX,2020Q2,25.55,752.1,105,"5,836.00","7,135.00",9,not audited,separated,6/8/2020,billion,dong
530,MDC,HNX,2020Q2,10.2,"1,643.80",49,476,"1,425.00",6.9,not audited,separated,6/8/2020,billion,dong
531,HLC,HNX,2020Q2,28.72,87.3,88,"1,130.00","2,517.00",3.1,not audited,separated,6/8/2020,billion,dong
532,IVS,HNX,2020Q2,14.17,299,na,245,-768,-8.3,not audited,separated,6/8/2020,billion,dong
533,APG,HOSE,2020Q2,4.4,305,17,129,794,15.5,not audited,separated,6/8/2020,billion,dong
534,VCI,HOSE,2020Q2,323.63,-5.4,78,"1,972.00","4,110.00",5.2,not audited,separated,6/8/2020,billion,dong
535,FTS,HOSE,2020Q2,22.34,-89.1,14,185,261,49,not audited,separated,6/8/2020,billion,dong
536,KMR,HOSE,2020Q2,0.75,-90.9,11,13,-70,-30.7,not audited,separated,6/8/2020,billion,dong
537,VDS,HOSE,2020Q2,13.01,-48.4,36,130,224,25.9,not audited,separated,6/8/2020,billion,dong
538,VGP,HNX,2020Q2,0.41,29.7,9,53,884,11.7,not audited,separated,6/8/2020,billion,dong
539,LAF,HOSE,2020Q2,4.03,-29.2,30,274,"1,100.00",7.8,not audited,separated,6/8/2020,billion,dong
540,SRC,HOSE,2020Q2,25.31,79.7,na,902,"1,874.00",7.7,not audited,separated,6/8/2020,billion,dong
541,VHE,HNX,2020Q2,0.14,-98.4,48,16,43,97.7,not audited,separated,6/8/2020,billion,dong
542,VPD,HOSE,2020Q2,0.44,-99.3,na,4,317,45,not audited,separated,6/8/2020,billion,dong
543,VKC,HNX,2020Q2,1.73,483.8,40,90,214,19.6,not audited,separated,6/8/2020,billion,dong
544,CKV,HNX,2020Q2,1.84,-25.3,na,458,"1,174.00",9.3,not audited,separated,6/8/2020,billion,dong
545,TSB,HNX,2020Q2,1.88,-11.4,57,278,679,10.8,not audited,separated,6/8/2020,billion,dong
546,S74,HNX,2020Q2,-0.92,na,82,-142,41,104.9,not audited,separated,6/8/2020,billion,dong
547,CX8,HNX,2020Q2,0.04,-53.6,4,16,316,27.2,not audited,separated,6/8/2020,billion,dong
548,CTC,HNX,2020Q2,0.08,-78.7,na,9,-110,-48.2,not audited,separated,6/8/2020,billion,dong
549,DXV,HOSE,2020Q2,0.56,124.1,na,57,305,8.2,not audited,separated,6/8/2020,billion,dong
550,HBE,HNX,2020Q2,-0.24,-128.7,na,-108,376,21,not audited,separated,6/8/2020,billion,dong
551,STP,HNX,2020Q2,5.73,443.6,127,714,"1,425.00",4.8,not audited,separated,6/8/2020,billion,dong
552,DXP,HNX,2020Q2,19.03,37.7,61,732,"1,788.00",5.6,not audited,separated,6/8/2020,billion,dong
553,SHE,HNX,2020Q2,9.73,27.3,46,"1,947.00","5,562.00",3.5,not audited,separated,6/8/2020,billion,dong
554,HCD,HOSE,2020Q2,5.79,-66.7,36,214,298,11.6,not audited,separated,6/8/2020,billion,dong
555,GSP,HOSE,2020Q2,28.36,29.1,54,852,"1,768.00",5.7,not audited,separated,6/8/2020,billion,dong
556,VDP,HOSE,2020Q2,23.1,17.2,51,"1,811.00","3,700.00",8.9,not audited,separated,6/8/2020,billion,dong
557,TDN,HNX,2020Q2,25.47,131.2,153,865,"3,273.00",2.1,not audited,separated,6/8/2020,billion,dong
558,SPM,HOSE,2020Q2,3.06,6.6,27,222,673,18.1,not audited,separated,6/8/2020,billion,dong
559,HCC,HNX,2020Q2,0.8,-88.2,6,122,"1,039.00",11.3,not audited,separated,6/8/2020,billion,dong
560,SSC,HOSE,2020Q2,19.52,-58.3,49,"1,468.00","3,503.00",14.3,not audited,separated,6/8/2020,billion,dong
561,KOS,HOSE,2020Q2,8.59,-35.9,29,83,224,135.3,not audited,separated,6/8/2020,billion,dong
562,TVS,HOSE,2020Q2,31.42,-37.4,31,383,955,11.1,not audited,consolidated,6/8/2020,billion,dong
563,FCM,HOSE,2020Q2,20.28,-16.5,42,495,924,6.7,not audited,consolidated,6/8/2020,billion,dong
564,PXS,HOSE,2020Q2,0.59,101.2,na,10,"-3,264.00",-1.5,not audited,separated,6/8/2020,billion,dong
565,TPB,HOSE,2020Q2,"1,628.01",25.7,53,"1,974.00","4,156.00",5.1,not audited,separated,6/8/2020,billion,dong
566,COM,HOSE,2020Q2,6.96,-75.7,12,493,"2,077.00",24.6,not audited,separated,6/8/2020,billion,dong
567,DAT,HOSE,2020Q2,18.48,-31.8,46,402,"1,166.00",60.4,not audited,separated,6/8/2020,billion,dong
568,TVC,HNX,2020Q2,40.85,197.7,58,"1,021.00","1,228.00",6.3,not audited,consolidated,6/8/2020,billion,dong
569,SMA,HOSE,2020Q2,-10.18,"-29,266.00",-51,-535,225,52,not audited,separated,6/8/2020,billion,dong
570,TDW,HOSE,2020Q2,13.5,55.9,53,"1,588.00","2,927.00",7.3,not audited,separated,6/8/2020,billion,dong
571,PVG,HNX,2020Q2,-7.62,"-1,850.10",-40,-209,-301,-22.9,not audited,separated,6/8/2020,billion,dong
572,VC3,HNX,2020Q2,8.71,12.7,16,206,"1,211.00",13.2,not audited,consolidated,6/8/2020,billion,dong
573,CTB,HNX,2020Q2,24.15,279.7,101,"1,792.00","3,467.00",10.6,not audited,separated,6/8/2020,billion,dong
574,BTS,HNX,2020Q2,35.11,2,na,293,492,9.3,not audited,separated,6/8/2020,billion,dong
575,KHP,HOSE,2020Q2,-230.19,na,"-1,023.00","-5,745.00","-3,513.00",-2.7,not audited,separated,6/8/2020,billion,dong
576,KPF,HOSE,2020Q2,1.53,-29.7,3,85,"1,613.00",9.8,not audited,consolidated,6/8/2020,billion,dong
577,MSC,HNX,2020Q2,-8.26,na,na,-367,"-1,047.00",-14.4,not audited,separated,6/8/2020,billion,dong
578,HVT,HNX,2020Q2,13.42,-61.4,21,"1,221.00","3,146.00",10.2,not audited,separated,6/8/2020,billion,dong
579,ASP,HOSE,2020Q2,19.59,-38.8,39,525,775,6.6,not audited,C?g ty m?,6/8/2020,billion,dong
580,DPM,HOSE,2020Q2,407.71,390.3,94,"1,042.00","1,795.00",7.6,not audited,consolidated,6/8/2020,billion,dong
581,SAF,HNX,2020Q2,23.2,7,56,"2,863.00","5,367.00",7.3,not audited,separated,6/8/2020,billion,dong
582,SGH,HNX,2020Q2,3.55,-62.2,na,287,"1,007.00",38,not audited,separated,6/8/2020,billion,dong
583,CTS,HOSE,2020Q2,10.03,-83.8,9,94,591,10.8,not audited,separated,6/8/2020,billion,dong
584,TVB,HOSE,2020Q2,36.75,237.8,52,897,"1,107.00",6.5,not audited,separated,6/8/2020,billion,dong
585,ART,HNX,2020Q2,0.44,-97.1,1,5,690,3.2,not audited,separated,6/8/2020,billion,dong
586,WSS,HNX,2020Q2,-16.05,na,"-1,097.00",-319,211,9,not audited,separated,6/8/2020,billion,dong
587,VIX,HNX,2020Q2,46.2,-24.7,58,400,876,9.6,not audited,separated,6/8/2020,billion,dong
588,SHS,HNX,2020Q2,266.04,132.1,111,"1,284.00","1,959.00",5.3,not audited,separated,6/8/2020,billion,dong
589,HCM,HOSE,2020Q2,251.1,30.4,55,822,"1,608.00",10.7,not audited,separated,6/8/2020,billion,dong
590,PME,HOSE,2020Q2,140.3,-6.4,43,"1,870.00","4,150.00",15.2,not audited,separated,6/8/2020,billion,dong
591,SBA,HOSE,2020Q2,8.81,-85.9,na,146,736,19,not audited,separated,6/8/2020,billion,dong
592,SHP,HOSE,2020Q2,0.35,-93,na,4,"2,259.00",10.8,not audited,separated,6/8/2020,billion,dong
593,DMC,HOSE,2020Q2,107.96,0.2,46,"3,109.00","6,705.00",7.5,not audited,separated,6/8/2020,billion,dong
594,DXG,HOSE,2020Q2,38.1,-93.2,na,80,"1,464.00",6.5,not audited,consolidated,6/8/2020,billion,dong
595,TDM,HOSE,2020Q2,77.89,10,na,814,"2,203.00",11.3,not audited,separated,6/8/2020,billion,dong
596,NCT,HOSE,2020Q2,99.37,-13.6,na,"3,798.00","7,837.00",7.7,not audited,separated,6/8/2020,billion,dong
597,CHP,HOSE,2020Q2,-9.55,-116.6,-4,-69,"1,074.00",17.3,not audited,separated,6/8/2020,billion,dong
598,LIX,HOSE,2020Q2,112.04,34,na,"3,458.00","6,396.00",8.3,not audited,separated,6/8/2020,billion,dong
599,VPB,HOSE,2020Q2,"5,265.02",51.7,69,"2,158.00","4,124.00",5.2,not audited,consolidated,6/8/2020,billion,dong
600,HHC,HNX,2020Q2,0.19,2.4,na,11,"2,487.00",43,not audited,separated,6/8/2020,billion,dong
601,C92,HNX,2020Q2,0.54,111.5,67,101,41,78,not audited,separated,6/8/2020,billion,dong
602,DPC,HNX,2020Q2,2.91,9.4,na,"1,302.00","2,671.00",4.3,not audited,separated,6/8/2020,billion,dong
603,BTW,HNX,2020Q2,22.54,19,75,"2,409.00","3,912.00",6,not audited,separated,6/8/2020,billion,dong
604,L43,HNX,2020Q2,0.1,97.6,11,28,43,55.8,not audited,separated,6/8/2020,billion,dong
605,TNG,HNX,2020Q2,65.71,-29.4,29,"1,031.00","3,194.00",3.6,not audited,consolidated,6/8/2020,billion,dong
606,IMP,HOSE,2020Q2,88.43,28.3,45,"1,790.00","3,682.00",12,not audited,separated,6/8/2020,billion,dong
607,PSI,HNX,2020Q2,3.48,-9.4,54,58,110,27.3,not audited,separated,6/8/2020,billion,dong
608,MBS,HNX,2020Q2,107.28,-14.6,72,807,"1,590.00",5.6,not audited,separated,6/8/2020,billion,dong
609,BSI,HOSE,2020Q2,32.61,-40.1,30,268,752,10.2,not audited,separated,6/8/2020,billion,dong
610,BVS,HNX,2020Q2,51.6,-18.5,65,714,"1,713.00",5.5,not audited,separated,6/8/2020,billion,dong
611,KSD,HNX,2020Q2,-4.77,-285,-794,-397,-288,-15.3,not audited,separated,6/8/2020,billion,dong
612,L14,HNX,2020Q2,15.16,-60.3,na,835,"3,131.00",20,not audited,consolidated,6/8/2020,billion,dong
613,DAD,HNX,2020Q2,9.43,-30.3,81,"2,024.00","2,051.00",7.9,not audited,separated,6/8/2020,billion,dong
614,HCT,HNX,2020Q2,0.77,-25.3,na,381,824,12.7,not audited,separated,6/8/2020,billion,dong
615,TNI,HOSE,2020Q2,5.1,-32.5,28,97,301,11.2,not audited,consolidated,6/8/2020,billion,dong
616,BDB,HNX,2020Q2,0.41,-31.9,42,367,786,13.7,not audited,separated,6/8/2020,billion,dong
617,BED,HNX,2020Q2,2.87,1.5,na,958,"2,421.00",13.6,not audited,separated,6/8/2020,billion,dong
618,BPC,HNX,2020Q2,3.71,46.3,71,976,"1,762.00",5.7,not audited,separated,6/8/2020,billion,dong
619,RCL,HNX,2020Q2,6.51,33.3,59,645,"1,383.00",13.4,not audited,consolidated,6/8/2020,billion,dong
620,ABT,HOSE,2020Q2,10.36,-60.9,55,898,"2,825.00",10.8,not audited,consolidated,6/8/2020,billion,dong
621,DPG,HOSE,2020Q2,66.88,228.7,29,"1,494.00","5,246.00",3.9,not audited,consolidated,6/8/2020,billion,dong
622,GDW,HNX,2020Q2,6.59,-47.4,42,693,"1,169.00",16.3,not audited,separated,6/8/2020,billion,dong
623,SZC,HOSE,2020Q2,125.16,155.2,na,"1,252.00","2,116.00",12.7,not audited,consolidated,6/8/2020,billion,dong
624,MEL,HNX,2020Q2,1.65,-43.7,44,110,365,21.9,not audited,separated,6/8/2020,billion,dong
625,S4A,HOSE,2020Q2,11.61,-61,11,275,"2,258.00",12.2,not audited,separated,6/8/2020,billion,dong
626,PMB,HNX,2020Q2,10.04,-14.7,115,837,871,10.7,not audited,separated,6/8/2020,billion,dong
627,FID,HNX,2020Q2,0.09,125.5,4,4,18,55.6,not audited,separated,6/8/2020,billion,dong
628,NAP,HNX,2020Q2,6.11,27.1,66,284,472,27.5,not audited,separated,6/8/2020,billion,dong
629,SKG,HOSE,2020Q2,6.13,-91.7,12,97,669,12.2,not audited,separated,6/8/2020,billion,dong
630,BCF,HNX,2020Q2,47.11,118.9,92,"2,570.00","5,152.00",8.7,not audited,consolidated,6/8/2020,billion,dong
631,APP,HNX,2020Q2,-0.32,na,-15,-69,80,42.5,not audited,separated,6/8/2020,billion,dong
632,AME,HNX,2020Q2,1.21,91.9,6,48,779,8.9,not audited,separated,6/8/2020,billion,dong
633,VLA,HNX,2020Q2,-1.88,na,na,"-1,745.00",472,27.8,reviewed,separated,6/8/2020,billion,dong
634,PCG,HNX,2020Q2,0.08,100.6,271,4,-513,-10.1,not audited,consolidated,6/8/2020,billion,dong
